wday,hour,records
weekday,0,16164344
weekday,1,15573349
weekday,2,15341409
weekday,3,15268756
weekday,4,15836252
weekday,5,17855240
weekday,6,19463046
weekday,7,19759242
weekday,8,20216070
weekday,9,21226932
weekday,10,22086017
weekday,11,21856160
weekday,12,21805524
weekday,13,21476095
weekday,14,21034465
weekday,15,20487139
weekday,16,20384603
weekday,17,20574404
weekday,18,20675879
weekday,19,20356374
weekday,20,19202933
weekday,21,18599860
weekday,22,17632130
weekday,23,16855161
weekend,0,5832312
weekend,1,5518728
weekend,2,5435010
weekend,3,5396757
weekend,4,5431980
weekend,5,5706946
weekend,6,5736587
weekend,7,5910452
weekend,8,6394280
weekend,9,7278785
weekend,10,8231126
weekend,11,8501190
weekend,12,8501259
weekend,13,8524005
weekend,14,8639577
weekend,15,8587093
weekend,16,8427671
weekend,17,7957698
weekend,18,7734034
weekend,19,7465378
weekend,20,7107785
weekend,21,6867305
weekend,22,6630014
weekend,23,6428165
